cidade,sigla_uf,segmento,nome_comercial,telefone,email,capital_social,endereco_completo
Almenara,MG,AGRO - Revenda,CASA DA RACAO VETERINARIA LTDA,33 32713060,contabilidade@contcastro.com.br,5227914,"AVENIDA OLINDO DE MIRANDA, 1880 - PARQUE SAO JOAO, Almenara - MG"
Almenara,MG,AGRO - Revenda,CASA DA RACAO ALMENARA,33 32713060,casadaracao@uol.com.br,4408553,"RUA OLINDO DE MIRANDA, 1880 - PARQUE SAO JOAO, Almenara - MG"
Almenara,MG,MERCADO - Perecíveis,SUPERMERCADO SACOLAO,34 88917850,augustovcunha@gmail.com,500000,"RUA HERMANO DE SOUZA, 246 - CENTRO, Almenara - MG"
Almenara,MG,FARMA - Farmácia,FARMACIA DO TRABALHADOR DO BRASIL,87 37610673,contabil10@farmaciasftb.com,300000,"AVENIDA OLINDO DE MIRANDA, 53 - CENTRO, Almenara - MG"
Almenara,MG,MERCADO - Perecíveis,XERETA SUPERMERCADOS,33 37216034,siare@escritaonline.cnt.br,300000,"RUA SEVERIANO COUTINHO, 275 - CENTRO, Almenara - MG"
Almenara,MG,MERCADO - Perecíveis,MAGNUM SUPERMERCADOS,33 37211260,magnumsupermercados@hotmail.com,250000,"RUA SEVERIANO COUTINHO, 518 - CENTRO, Almenara - MG"
Almenara,MG,MERCADO - Perecíveis,HIPER FAROL,33 37212077,coto@contabteixeira.com.br,200000,"AVENIDA OLINDO DE MIRANDA, 940 - CENTRO, Almenara - MG"
Almenara,MG,MERCADO - Perecíveis,BOMBOM COMERCIO & REPRESENTACOES,33 37213163,bombommercearia@bol.com.br,200000,"AVENIDA CARLYLE GUIMARAES CARDOSO, 81 - SANTO ANTONIO, Almenara - MG"
Almenara,MG,FARMA - Farmácia,REDE BEM DROGARIAS ALMENARA,33 88716144,pferrazsouto@hotmail.com,180000,"RUA FULGENCIO NOGUEIRA, 259 - SAO PEDRO, Almenara - MG"
Almenara,MG,FARMA - Farmácia,FARMACIA 24 HORAS,33 38410000,farmacia24horasalmenara@gmail.com,180000,"RUA EXUPERIO ALVES CANGUSSU, 347 - CENTRO, Almenara - MG"
Almenara,MG,AGRO - Revenda,MENINO DA PECUARIA,33 37211884,geraldo.santos2@yahoo.com.br,180000,"RUA SANUEL ALVES DE OLIVEIRA, 900 - SAO PEDRO, Almenara - MG"
Almenara,MG,FARMA - Farmácia,BIOPHARMA DROGARIA E PERFUMARIA,33 91262376,thomaz_pm@hotmail.com,170000,"RUA ARGEMIRO AGUILAR, 639 - CENTRO, Almenara - MG"
Almenara,MG,FARMA - Farmácia,DROGARIA E PERFUMARIA SANTA LUZIA,33 99145466,geraldo.santos2@yahoo.com.br,150000,"RUA DR SABINO DA SILVA, 290 - CENTRO, Almenara - MG"
Almenara,MG,FARMA - Farmácia,FARMACIA E DROGARIA (DRUGSTORE) POPULAR ALMENARA CDEJ,33 37431004,ortecon255@yahoo.com.br,150000,"AVENIDA OLINDO DE MIRANDA, 500 - CENTRO, Almenara - MG"
Almenara,MG,MERCADO - Perecíveis,FENIX SUPERMERCADO,33 37212457,assteccocontabilidade@bol.com.br,140000,"AVENIDA OLINDO DE MIRANDA, 1011 - CENTRO, Almenara - MG"
Almenara,MG,FARMA - Farmácia,DROGA-FACIL LTDA,33 99779956,thaissfarma@icloud.com,120000,"RUA JOAO DE OLIVEIRA GUIMARAES, 30 - PARQUE SAO JOAO, Almenara - MG"
Almenara,MG,FARMA - Farmácia,FARMACIA DO TRABALHADOR,38 91531907,kleumo@hotmail.com,120000,"AVENIDA OLINDO DE MIRANDA, 53 - CENTRO, Almenara - MG"
Almenara,MG,MERCADO - Perecíveis,MERCEARIA SUPER COMPRA,33 37212021,merceariatododia2@gmail.com,110000,"RUA CANDIDO DA SILVA BRANDAO, 220 - PARQUE SAO JOAO, Almenara - MG"
